depth_cm,log_ks,ks_cm_per_day
99.0,2.7386013296786733,15.465339051288057
98.0,2.739610206307605,15.480949543621778
97.0,2.752797596320319,15.68645492459386
96.0,2.777046976843265,16.071491318492008
95.0,2.8104037266086244,16.616625438589146
94.0,2.850193249847984,17.291123024611565
93.0,2.8931842647952406,18.050696382728272
92.0,2.9357876778953242,18.836334257467783
91.0,2.974279355486948,19.575511180591697
90.0,3.0050336769329933,20.18689591728135
89.0,3.024754089800906,20.588941058024854
88.0,3.030687026886867,20.711457030389358
87.0,3.020806477869399,20.50782412307862
86.0,2.9939581801253294,19.964549586897306
85.0,2.949954705756384,19.105088358107256
84.0,2.8896155400894123,17.98639322496968
83.0,2.8147494066970533,16.68899310637278
82.0,2.7280794118468417,15.30346711954243
81.0,2.633114865167938,13.917052199010389
80.0,2.5339766938513875,12.603526980206235
79.0,2.435186029214332,11.417942586698265
78.0,2.3414276551870654,10.396067973509933
77.0,2.257301449038712,9.557263573792877
76.0,2.187075635583745,8.90912146475524
75.0,2.1344555810601595,8.452443583641086
74.0,2.102380981198489,8.1856365752756
73.0,2.092862703684454,8.108093040601656
72.0,2.106868323360741,8.222450864786362
71.0,2.1442626694818516,8.535745250999211
70.0,2.203806645888316,9.059434001731177
69.0,2.2832143628585175,9.808156769035874
68.0,2.379265417034923,10.796968680862744
67.0,2.4879661535870294,12.036770266290523
66.0,2.604751109643092,13.527857930323293
65.0,2.7247137141043556,15.252046855879025
64.0,2.8428538194764825,17.164680606381143
63.0,2.9543288425593413,19.188839664519094
62.0,3.054695228133805,21.214718892070366
61.0,3.1401276163161222,23.106815477240787
60.0,3.207604441960344,24.7197975284767
59.0,3.2550506375659483,25.920927073420977
58.0,3.281430531610184,26.613817388362985
57.0,3.2867867892812357,26.75675030294284
56.0,3.2722241733048065,26.369925450522924
55.0,3.2398398432964592,25.529632678102008
54.0,3.192604700136712,24.35177397692442
53.0,3.1342027667631367,22.970315841098532
52.0,3.068837648571539,21.51687796023033
51.0,3.0010166329112162,20.10596692420933
50.0,2.9353238982653416,18.827600374790613
49.0,2.8761945758278373,17.746611136884038
48.0,2.8277010423910047,16.906548674270706
47.0,2.793361862481962,16.335846459632037
46.0,2.7759823106872865,16.054389651007817
45.0,2.777533490600169,16.079312222446838
44.0,2.799074844172391,16.42943994573
43.0,2.840722447114161,17.128135240254995
42.0,2.9016630502272176,18.204395032411753
41.0,2.980211488122429,19.691980824461076
40.0,3.073906959982503,21.626230652449745
39.0,3.1796418987802406,24.038143921937777
38.0,3.2938157695965447,26.94548550507163
37.0,3.412505231424863,30.341160754889483
36.0,3.531641687990962,34.18003453219166
35.0,3.6471873400243275,38.36660194079643
34.0,3.7553014043197783,42.74710203028647
33.0,3.85248912893846,47.11018072497756
32.0,3.93572753341631,51.19938567387297
31.0,4.002563347022685,54.738283567182584
30.0,4.051180306976132,57.46524366104722
29.0,4.080434709408708,59.171186531345185
28.0,4.089859779670927,59.73151554413932
27.0,4.079640955492144,59.12423780562061
26.0,4.050565480951088,57.429923392731595
25.0,4.00395073350064,54.81427942725452
24.0,3.941556413128832,51.498692197751375
23.0,3.8654860962083424,47.72646644934883
22.0,3.778083701769427,43.73215753157119
21.0,3.681830159198556,39.719019723353966
20.0,3.579245044542864,35.846468142262445
19.0,3.472797221236125,32.226761866602715
18.0,3.364827642095003,28.92851081181405
17.0,3.2574865085886016,25.98414407152835
16.0,3.1526860056079107,23.398829637184686
15.0,3.052068895221339,21.159075079188156
14.0,2.9569924126018567,19.240018612098062
13.0,2.8685262015472004,17.61104393481972
12.0,2.7874624828159247,16.239758806649156
11.0,2.7143362791211563,15.094588153070186
10.0,2.649453325871405,14.146303113233534
9.0,2.592923264287597,13.368795058632559
8.0,2.5446958209796144,12.739352452902786
7.0,2.504597895725475,12.238636768090172
6.0,2.472369773101685,11.850496590823331
5.0,2.447699008739886,11.561712688790202
4.0,2.430250884285897,11.361732202531213
3.0,2.419694648202398,11.242425895751499
2.0,2.415725040692964,11.197886338259453
1.0,2.418078826613131,11.224274809680967
-0.0,2.426546225275799,11.319718729803073
